PaperId,AuthorId,AffiliationId,AuthorSequenceNumber,OriginalAuthor,OriginalAffiliation
2800167010,2672621395,169381384.0,2,Nicky Theunissen,"Population Research Centre, Urban and Regional Studies Institute, Faculty of Spatial Sciences, University of Groningen, PO Box 800, 9700 AV Groningen, The Netherlands."
2800226590,2692360871,54108979.0,1,Knut Einar Rosendahl,"School of Economics and Business, Norwegian University of Life Sciences, Ås, Norway."
2800226590,2757905781,54108979.0,2,Diana Roa Rubiano,"School of Economics and Business, Norwegian University of Life Sciences, Ås, Norway."
2801021333,2163132494,,1,Ian Kerr,
2804328334,2036263235,82284825.0,3,Ian P. Holman,Cranfield Water Science Institute Cranfield University Bedford UK
2804328334,2105290584,82284825.0,8,Daniel Sandars,Cranfield Water Science Institute Cranfield University Bedford UK
2804328334,2128661540,30016755.0,2,Rob W. Dunford,"Environmental Change Institute, University of Oxford, Oxford, UK"
2804328334,2318180701,67415387.0,1,Paula A. Harrison,"Centre for Ecology & Hydrology, Lancaster Environment Centre Lancaster UK"
2804328334,2430602981,32686375.0,5,Marianne S. Madsen,Danish Meteorological Institute Copenhagen Ø Denmark.
2804328334,2622006605,67415387.0,6,Pei Yuan Chen,"Centre for Ecology & Hydrology, Lancaster Environment Centre Lancaster UK"
2804328334,2664701591,,4,George Cojocaru,"Tiamasg Foundation, Bucharest, Romania"
2804328334,2750756937,913481162.0,7,Simona Pedde,Soil Geography and Landscape Group Wageningen University Wageningen the Netherlands
2804600776,314002054,,1,Olivier Bargain,"Bordeaux University, France"
2804600776,2099035504,,2,Delphine Boutin,"Bordeaux University, France"
2804600776,3128305585,,3,Hugues Champeaux,"Center for Studies and Research in International Development (CERDI) - University of Clermont-Auvergne, France"
2807456169,2055410688,31784960.0,9,Kazuki Nabeshima,"Department of Pathology, Fukuoka University Hospital and School of Medicine, Fukuoka , Japan"
2807456169,2118091256,31784960.0,5,Makoto Hamasaki,"Department of Pathology, Fukuoka University Hospital and School of Medicine, 7-45-1 Nanakuma, Jonan-ku, Fukuoka 814-0180, Japan."
2807456169,2137477771,31784960.0,4,Kaori Koga,"Department of Pathology, Fukuoka University Hospital and School of Medicine, 7-45-1 Nanakuma, Jonan-ku, Fukuoka 814-0180, Japan."
2807456169,2138600539,31784960.0,7,Toshifumi Sakata,Department of Otorhinolaryngology Fukuoka University Hospital and School of Medicine  Fukuoka Japan
2807456169,2218424641,31784960.0,6,Fumiaki Kiyomi,Academia; Industry and Government Collaborative Research Institute of Translational Medicine for Life Innovation; Fukuoka University; Fukuoka Japan
2807456169,2221905371,31784960.0,2,Mikiko Aoki,"Department of Pathology, Fukuoka University Hospital and School of Medicine, 7-45-1 Nanakuma, Jonan-ku, Fukuoka 814-0180, Japan."
2807456169,2329417481,31784960.0,3,Yasuko Okado,"Department of Pathology, Fukuoka University Hospital and School of Medicine, Fukuoka, Japan"
2807456169,2522859688,31784960.0,1,Masaru Miyazaki,"Department of Pathology, Fukuoka University Hospital and School of Medicine, 7-45-1 Nanakuma, Jonan-ku, Fukuoka 814-0180, Japan."
2807456169,2776683332,135598925.0,8,Takashi Nakagawa,"Department of Otorhinolaryngology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan;"
2807721218,47660713,76134821.0,2,Carlos Albert Reck-Burneo,"Department of Pediatric Surgery, Medical University of Vienna, Vienna, Austria."
2807721218,47660713,1314135232.0,2,Carlos Albert Reck-Burneo,"Center for Colorectal and Pelvic Reconstruction, Nationwide Children's Hospital, Columbus, Ohio, United States"
2807721218,2173781580,1314135232.0,5,Victoria Alison Lane,"Center for Colorectal and Pelvic Reconstruction, Nationwide Children's Hospital, Columbus, Ohio, United States."
2807721218,2488098533,1285204247.0,9,Marc A. Levitt,"Department of Pediatric Surgery, Cincinnati Children's Hospital, Cincinnati, Ohio, United States."
2807721218,2520315108,1314135232.0,3,Molly Fuchs,"Center for Colorectal and Pelvic Reconstruction, Nationwide Children's Hospital, Columbus, Ohio, United States."
2807721218,2569700419,1314135232.0,4,Alejandra Vilanova Sanchez,"Center for Colorectal and Pelvic Reconstruction, Nationwide Children's Hospital, Columbus, Ohio, United States."
2807721218,2752052815,1314135232.0,8,Laura Weaver,"Center for Colorectal and Pelvic Reconstruction, Nationwide Children's Hospital, Columbus, Ohio, United States."
